Anio,Mes, Recuento Femenino ,Haber Femenino,Edad Femenino, Recuento Masculino ,Haber Masculino,Edad Masculino, Recuento Total ,Haber Total,Edad Total
2003,1,25619.00,885.56,66.98,15223.00,1204.56,63.31,40842.00,1004.46,65.61
2003,2,25716.00,902.43,67.01,15199.00,1198.47,63.40,40915.00,1012.40,65.67
2003,3,25968.00,938.39,66.96,15328.00,1297.82,63.36,41296.00,1071.80,65.62
2003,4,26253.00,908.79,66.92,15434.00,1217.67,63.36,41687.00,1023.15,65.60
2003,5,26417.00,914.79,66.89,15499.00,1225.76,63.35,41916.00,1029.78,65.58
2003,6,26626.00,914.79,66.89,15599.00,1225.76,63.35,42225.00,1029.78,65.58
2003,7,26861.00,914.11,66.88,15797.00,1238.43,63.34,42658.00,1034.21,65.56
2003,8,27075.00,923.63,66.85,15900.00,1226.46,63.33,42975.00,1035.67,65.55
2003,9,27254.00,912.68,66.86,15994.00,1225.35,63.36,43248.00,1028.32,65.57
2003,10,27344.00,922.24,66.76,16066.00,1232.22,63.22,43410.00,1036.97,65.45
2003,11,27445.00,922.49,66.77,16099.00,1245.25,63.22,43544.00,1041.82,65.46
2003,12,27506.00,922.49,66.80,16116.00,1245.25,63.23,43622.00,1041.82,65.49
2004,1,27577.00,929.52,66.77,16125.00,1237.31,63.16,43702.00,1043.08,65.44
2004,2,27689.00,922.54,66.79,16176.00,1238.46,63.22,43865.00,1039.04,65.47
2004,3,27712.00,925.48,66.76,16144.00,1247.30,63.21,43856.00,1043.95,65.45
2004,4,27798.00,931.95,66.71,16197.00,1255.49,63.13,43995.00,1051.06,65.40
2004,5,27838.00,927.42,66.75,16199.00,1253.46,63.16,44037.00,1047.35,65.43
2004,6,27901.00,927.42,66.73,16219.00,1253.46,63.15,44120.00,1047.35,65.41
2004,7,28045.00,979.55,66.69,16227.00,1291.40,63.14,44272.00,1093.85,65.39
2004,8,28054.00,962.69,66.72,16167.00,1276.29,63.11,44221.00,1077.34,65.40
2004,9,27219.00,1028.25,68.33,15342.00,1412.87,65.54,42561.00,1166.89,67.32
2004,10,27160.00,1040.70,68.34,15256.00,1424.49,65.55,42416.00,1178.74,67.34
2004,11,27303.00,1028.30,68.34,15252.00,1401.46,65.57,42555.00,1162.04,67.35
2004,12,27791.00,1028.30,68.18,15338.00,1401.46,65.57,43129.00,1162.04,67.25
2005,1,28411.00,1019.49,67.96,15577.00,1376.08,65.50,43988.00,1145.77,67.09
2005,2,28917.00,1009.62,67.76,15687.00,1368.53,65.41,44604.00,1135.85,66.93
2005,3,29124.00,1041.56,67.67,15684.00,1387.94,65.42,44808.00,1162.80,66.88
2005,4,29274.00,1107.77,67.66,15819.00,1489.66,65.39,45093.00,1241.74,66.86
2005,5,29334.00,1043.68,67.67,15858.00,1403.29,65.36,45192.00,1169.87,66.86
2005,6,28975.00,1043.68,67.51,15698.00,1403.29,65.21,44673.00,1169.87,66.70
2005,7,29008.00,1082.29,67.54,15675.00,1533.69,65.24,44683.00,1240.64,66.73
2005,8,28948.00,1302.37,67.58,15566.00,1671.86,65.43,44514.00,1431.58,66.83
2005,9,28953.00,1415.65,67.59,15609.00,1977.78,65.38,44562.00,1612.55,66.82
2005,10,28920.00,1342.55,67.59,15584.00,1724.57,65.38,44504.00,1476.32,66.82
2005,11,28890.00,1360.29,67.60,15547.00,1741.26,65.39,44437.00,1493.58,66.83
2005,12,28863.00,1360.29,67.64,15470.00,1741.26,65.41,44333.00,1493.58,66.86
2006,1,29156.00,1431.68,67.45,15724.00,1884.55,65.18,44880.00,1590.35,66.66
2006,2,29067.00,1417.00,67.43,15837.00,1851.47,65.09,44904.00,1570.23,66.60
2006,3,29026.00,1424.92,67.47,15812.00,1870.41,65.14,44838.00,1582.02,66.65
2006,4,28959.00,1417.05,67.56,15724.00,1839.75,65.29,44683.00,1565.80,66.76
2006,5,28898.00,1453.66,67.56,15654.00,1947.89,65.24,44552.00,1627.31,66.75
2006,6,28883.00,1453.66,67.50,15651.00,1947.89,65.15,44534.00,1627.31,66.67
2006,7,28790.00,1477.79,67.62,15554.00,1931.91,65.32,44344.00,1637.08,66.82
2006,8,28735.00,1478.81,67.66,15507.00,1933.25,65.33,44242.00,1638.10,66.84
2006,9,28679.00,1764.01,67.66,15447.00,2241.94,65.38,44126.00,1931.32,66.86
2006,10,28623.00,1649.51,67.70,15378.00,2116.34,65.42,44001.00,1812.66,66.90
2006,11,28569.00,1682.89,67.74,15306.00,2229.98,65.46,43875.00,1873.75,66.95
2006,12,28550.00,1682.89,67.80,15291.00,2229.98,65.51,43841.00,1873.75,67.00
2007,1,28613.00,1639.93,67.71,15316.00,2123.94,65.36,43929.00,1808.68,66.89
2007,2,28518.00,1648.13,67.76,15357.00,2171.87,65.25,43875.00,1831.45,66.88
2007,3,28414.00,1756.08,67.91,15262.00,2379.19,65.43,43676.00,1973.82,67.04
