artista,nombre_cancion,link_cancion,letra
5 sentidos,Orejano,http://www.mifolkloreargentino.com.ar/letras-de-canciones-de-5-sentidos/orejano,"Yo se que en el pago me tienen ideaporque a los que mandan no les cabresteo,porque dispreciando las huellas ajenas se abrirme camino pa' dir donde quiera.Porque no me han visto lamber la coyunta ni andar hociqueando pa' hacerme de un peso y saben de sobra que soy duro e' bocay no me asujeta ni un freno mulero.Porque cuando tengo que cantar verdades las canto derecho nomás, a lo macho, aunque esas verdades amuestren bicheras donde naides creiba que hubiera gusanos.Porque el copetudo de riñón cubiertopa' quien no usa leyes ningún comesario lo trato lo mesmo que al que solo tiene chiripá d' bolsa pa' taparse el rabo.Porque no me enyenan con cuatro mentiras los maracanaces que vienen del pueblo a elogiar divisas ya desmerecidas y hacernos promesas que nunca cumplieron.Porque cuando truje mi china pal' rancho me he olvidao que hay jueces pa' hacer casamiento, y que nada vale la mujer mas guena si su hombre por ella no ha pagao derechos.Porque a mis gurises los he criado infieles aunque el cura chille que iran al infierno, pues de nada valen los que solo saben estar todo el dia pirichando el cielo.Porque aunque no tengo donde caerme muerto soy mas rico que esos que ensanchan sus campospagando en sancocho de tumbas resecas al pobre peon que deja los bofes cinchandoPor eso en el pago me tienen idea,porque entre los ceibos estorba un quebracho,porque a tuitos eyos le han puesto la marca y tienen envidia al verme orejano.Y a mi que me importa, soy chucaro y libre!no sigo a caudillos ni en leyes me atraco y voy por los rumbos clareaos de mi antojo y a naides preciso pa' hacerme baqueano."
5 sentidos,Te voy a contar un sueño,http://www.mifolkloreargentino.com.ar/letras-de-canciones-de-5-sentidos/te-voy-a-contar-un-sueno,"Llegan de noche gritos lejanos, rompe a la luna, tiembla de miedo algún charco. en salamanca llaman campanas, los hombres quieren matarse empuñando un arma. Ya no se ríen, venden su leña, ya no agradecen que el río les dé su arena, sólo los niños, pan de la tierra, juntan semillas pa’ hacer la nueva cosecha. Pucha que sueño fiero he tenido, nubes de humito a mi patio se han subido. silva una pava, cantan rubialas el monte ríe le da ojos a mi esperanza. Tranquen las puertas que afuera gritan las aves grises queriendo llevarse un alma; sobre los techos ya han hecho nido, triste está el cielo, la paz del pueblo se ha ido. Ángel del agua dame tu espejo donde la lluvia de magia prende su vuelo en salamanca llaman campanas, los hombres quieren matarse empuñando un arma. Pucha que sueño fiero he tenido, nubes de humito a mi patio se han subido. silva una pava, cantan rubialas el monte ríe le da ojos a mi esperanza."
Abel Pintos,3,http://www.mifolkloreargentino.com.ar/letras-de-canciones-de-abel-pintos/3,"Otro beso sabe amargo, sólo me consume y quema lo que queda, es una ironía que hasta mi destino y mi mundo estén brindando a tu salud.  Otra vez será la luna la que me recuerde que ya no hay ninguna forma de escapar, que he quedado atrapado en un mundo donde existes tú.  Voy a desatar las dudas y a romper cadenas para ser de nuevo sólo aquel que era cuando descubrimos este amor y dimos lo mejor sin miedo.  Luz que alumbra mi camino en tu bendición despierta mis sentidos, rompe mi estructura y mi respiración, imaginar que uno y uno ya no sumen dos.  Hallé la forma de decir: “fue suficiente para mí”. La vida no vale dolor, es un milagro, es un milagro.  Gira el mundo en un letargo, todo me confunde, todo me marea, en mi habitación no cabe nadie más que tu recuerdo gris, mi obsesión y yo.  Alguien me dirá algún día que tu poesía era una mentira y que no debería seguir preguntando porqué terminó.  Hallé la forma de decir: “fue suficiente para mí”. La vida no vale dolor, es un milagro, es un milagro.  Alguien me espera en la ciudad, no sé explicarte mi ansiedad, la soledad es una cárcel mental, el cuerpo pide, el alma es libre.  Hallé la forma de decir: “fue suficiente para mí”. La vida no vale dolor, es un milagro, es un milagro.  Alguien me espera en la ciudad, no sé explicarte mi ansiedad, la soledad es una cárcel mental, el cuerpo pide, el alma es libre. El cuerpo pide..."
Abel Pintos,A veces pasa,http://www.mifolkloreargentino.com.ar/letras-de-canciones-de-abel-pintos/a-veces-pasa,"A veces pasa que la razón corta el hilo y se va volando con los vientos de una pasión que a otros cielos se van soplando. Se te escapa de las manos y te deja solo en la vía abrazado a una confusión que no te lleva a una salida. Y todo es culpa del corazón, que no toma una decisión. Soñar puede cambiarnos la vida Soñar suele curar las heridas Amar, para cambiarnos la vida Y amar, para curar las heridas Se te escapa de las manos y te deja sólo en la vía abrazado a una confusión, que no te lleva a una salida. Y todo es culpa del corazón, que no toma una decisión. Soñar puede cambiarnos la vida, Soñar suele curar las heridas, Amar para cambiarnos la vida Y amar, para curar las heridas Y abrir las puertas del corazón Y tomar una decisión."
Abel Pintos,A-Dios,http://www.mifolkloreargentino.com.ar/letras-de-canciones-de-abel-pintos/a-dios,"Te voy a decir todo lo que no te dije, por miedo que al decirlo puedas verme triste. Sé bien que no te gustan las crudas despedidas, y crees que son parte inerte de la vida. Te voy a decir todo, si al finas de cuentas tú eres quien provocas todo esto en mi sentir, aunque no haya heredado la sangre del poeta, y tenga mala letra para escribir. Te voy a decir todo antes que sea tarde, sino, luego de que marches me arrepentiré, y me desvelaré con un nudo en la garganta, el aire que me falta y no me siento bien. Te voy a decir todo y aunque no lo quieras, porque esta es mi manera de decir adiós. A Dios que te bendiga, a Dios que te acompañe con toda la fortuna y el amor. Te voy a decir todo lo que siempre digo cada vez que me despierto y no estás conmigo, y escucho que en la radio, sin darme explicaciones, no dejan de nombrar tu nombre en las canciones. Te voy a decir todo, si al finas de cuentas tú eres quien provocas todo esto en mi sentir, aunque no haya heredado la sangre del profeta, y tenga lengua lenta para repetir. Te voy a decir todo antes que sea tarde, sino, luego de que marches me arrepentiré, y me desvelaré con un nudo en la garganta, el aire que me falta y no me siento bien. Te voy a decir todo y aunque no lo quieras, porque esta es mi manera de decir adiós. A Dios que te bendiga, a Dios que te acompañe con toda la fortuna y el amor. A Dios que te bendiga, a Dios que te acompañe con toda la fortuna, la fortuna y el amor. Te pensaré, te sentiré, te extrañaré cada día. Te pensaré, te sentiré, te extrañaré cada día. Te pensaré, te sentiré, te extrañaré cada día. Te pensaré, te sentiré, te extrañaré cada día."
Abel Pintos,Abismo,http://www.mifolkloreargentino.com.ar/letras-de-canciones-de-abel-pintos/abismo,"Llévate el humo del dolor, llévate el eco de tu vos Llévate el fuego y el veneno, del mal que me hicieron tus besos. Yo sé que tengo que seguir, pero no se la dirección No sé cómo echarte al olvido, te busco y me encuentro perdido Que contradicción Llévate si quieres mi vida, llévate las sobras de mi corazónLlévate la ingrata costumbre mi amor de soñar que tuvimos Los dos Llévate si quieres la sombra que deja mi sangre el puñal de Tu adiós Llévate todo te lo pido así no me muero... Llévate todo lo demás, si te llevas mi dignidad Y no me hables más de lo mismo tírame al abismo de la soledad Sabes que me vas a encontrar, algún momento algún lugar Y aunque me muestre superado, por dentro voy a estar sangrando pidiendo piedad... Llévate si podes mi vida, llévate las sobras de mi corazón Llévate la ingrata costumbre mi amor de soñar que tuvimos Los dos Llévate si podes la sombra que deja mi sangre el puñal deTu adiós Llévate todo te lo pido así no me muero... Ya no me es tu olvido, el que me duele, el que me mata, esLa torpeza de haberte querido ingrata... Llévate por favor mi vida, llévate las sobras de mi corazón Llévate la puta ingrata costumbre mi amor de soñar que Tuvimos los dos Llévate por favor la sombra que deja mi sangre el puñal deTu adiós Llévate todo te lo pido así no me muero... Llorando por vos…"
Abel Pintos,Alelí,http://www.mifolkloreargentino.com.ar/letras-de-canciones-de-abel-pintos/aleli,"Quién preguntó quién podrara quererte como yo,Siempre lo decias y me atabas a tu piel,Con ramo de besos y escuchabamos caer,Sobre los techos de cinc, lluvias de otoño en abril [coro]Tengo esa nostalgia de domingo por llover,De guitarra rota y oxidado carruselHayy Aleli,Pobre de ti Yo te desnudaba para ver como era el mar,y el bar se enrredaba mis deseos de volaribamos tan lejos que olvidabamos volver,Nos traia el angel ciego del amanecer,Y se acostaba en tus pies como un gatito siames. CORO Esta noche quiero que bailemos otra vez,La cancion que el viento nos cantaba en el ayer,Ya sabra el infierno como hacer para sentar,que bailen mi senda con tu sombra sin parar,Como he podido matar,cualquier me hacia soñar CORO"
Abel Pintos,Alguien (Ft. Leiva),http://www.mifolkloreargentino.com.ar/letras-de-canciones-de-abel-pintos/alguien-ft-leiva,"Alguien quiere que la solución, solución es separarnos, alguien quiere que caigamos donde no hay motivos para hablarnos. Alguien quiere infierno entre los dos, alguien tira pierdas en el río.  Alguien nos bendijo al revés y quemó nuestros deseos, nos vendió una torre de papel y trepamos como ciegos. Alguien miente cosas de los dos, que sólo nosotros dos sabemos.  Cada vez que miro alrededor veo espadas afiladas, paranoia y violencia, todos se devoran entre sí, y es difícil convivir con las leyes de la selva. Alguien quiere infierno entre los dos, alguien quiere sangre.  Alguien, cuando nos promete la verdad, apunta sin piedad quitándonos el aire. Alguien, todos somos alguien.  Nadie quiere que la salvación aparezca sin dañarnos, alguien quiere que callemos hoy y mañana perdonarnos. Nadie se arrodilla sin razón, alguien debería consolarnos.  Alguien, cuando nos promete la verdad, apunta sin piedad quitándonos el aire. Alguien, todos somos alguien. Alguien, cuando nos promete la verdad, apunta sin piedad quitándonos el aire. Alguien, todos somos alguien.  Todos somos aire."
Abel Pintos,Alguna vez,http://www.mifolkloreargentino.com.ar/letras-de-canciones-de-abel-pintos/alguna-vez,"Cada vez que quiero hablar, cada vez que quiero respirar apareces tú, entre besos y caricias, entre el llanto y la sonrisa sólo vives tú. Siento que te quiero tanto, siento que me estoy fallando al pensar en ti, yo no puedo ser tu dueño, no, no puedo ser tu dueño. Y aún te espero, aún te quiero, entre las hojas de las rosas duelen las espinas y ya no sé muy bien para qué. Aún te espero, aún te quiero, y me pregunto cada noche, mira, qué ironía, porqué te soñé alguna vez. Solo, aquí, sin preguntar, dónde encontrarán lugar los sueños que no pueden ser, no le robaré el sentido al olvido si me digo que te quiero ver. Y te nombro en un suspiro y te encuentro aquí conmigo al amanecer. Sé muy bien que me hace daño, sé que se me van los años. Y aún te espero, aún te quiero, entre las hojas de las rosas duelen las espinas y ya no sé muy bien para qué. Aún te espero, aún te quiero, y me pregunto cada noche, mira, qué ironía, porqué te soñé alguna vez. Y aún te espero, aún te quiero, y me pregunto cada noche, mira, qué ironía, porqué te soñé alguna vez. Yo quiero ser tu hombre alguna vez."
Abel Pintos,Amame,http://www.mifolkloreargentino.com.ar/letras-de-canciones-de-abel-pintos/amame,"Cada silencio en tu boca parece la muerte, aunque la muerte en verdad es un dia sin verte, Un dia lejos de ti es un sueño si alas, una retorica triste,un dolor que no acaba.  Cada silencio en tu boca parece la muerte, aunque la muerte en verdad es un dia sin verte, Un dia lejos de ti es un sueño si alas, una retorica triste,un dolor que no acaba.  Amame en la soledad sin prisa, amame y arrancame la vida. Amame y no escuches lo que digo, si he de morir me morire contigo.  Cada silencio en tu boca parece la muerte, aunque la muerte en verdad es un dia sin verte,  .No me puedo desprender de tu nombre sin sentir caer mi esperanza a los pies de algun dios que ya no ve."
